flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),depracated,link,minutes,seconds,milliseconds,total_milliseconds,total_seconds,rounding,current_wr,normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_dropped,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<400,400-1000,1000-1500,1500-2000,200+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type,bastion_route,chests_checked,depracated,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since,elo_weight,elo,timeloss
🇨🇦,NoHacsJustRoblox,0,1,7:21.808,7:22.283,29 Apr 2024,735,(V),8722833245086318634,,Yes,https://www.speedrun.com/mc/runs/z58ewkez,7,22,283,442283,442,0,410359,1.077795296,421494,1.049322173,-0.0005,0.6925,0.8349212482,665.1805,960.6004,931.6689,0.94474,,BT,,2x1 Magma,1:13,0:25,1:38,Bridge,1:40,3:18,0:24,3:42,Fort,0:59,4:41,6/9,6,9,0.67,0:02,Yes,2,4:39,Calc,0:14,1,0,1,1,4:53,0:41,1939,0,0,0,1,0,5:34,4:39,3:26,4:07,1:16,2:42,3:39,0:53,5:34,Prempt,0:21,1,,5:55,F.PC,4,--,--,4,B57,--,--,,--,--,--,1:26,7:21,Bridge,OLD,3,--,1:38,,,,1:40,3:18,24,49,35,0,,11,735,0,0,
🇳🇴,skycrab1,0,1,7:22.684,7:23.784,19 Apr 2024,745,(V),6338107534563615641,,Yes,https://www.speedrun.com/mc/runs/mew18n2m,7,23,784,443784,444,1,410359,1.081453069,421494,1.052883315,-0.0005,0.6890,0.8551130093,659.3070,956.8908,927.2185,0.96502,,BT,,1x1 Magma,1:49,0:05,1:54,Housing,1:51,3:45,0:26,4:11,Fort,0:30,4:41,6/7,6,7,0.86,0:09,Yes,2,4:50,Calc,0:25,1,0,0,0,5:15,0:55,1439,0,0,1,0,0,6:10,4:50,3:01,3:56,1:38,2:32,3:11,1:29,6:10,Prempt,0:18,2,,6:28,Zero,7,,7,--,O,F Diag,F,Diag,94,T94,99,0:54,7:22,Housing,MANJ,5,DT,1:54,,,,1:51,3:45,21,57,56,0,,38,745,0,0,
🇨🇦,Aquacorde,0,1,7:24.170,7:24.170,16 Oct 2025,200,(V),-1813865513517318496,,Yes,https://www.speedrun.com/mc/runs/ydo6pewz,7,24,170,444170,444,0,410359,1.082393709,410359,1.082393709,-0.0005,0.9048,1.042002552,833.1842,920.8109,926.0536,0.97030,,BT,,2x1 Magma,1:16,0:38,1:54,Housing,1:43,3:37,0:39,4:16,Fort,1:03,5:41,6/8,6,8,0.75,--,No,2,5:11,Calc,0:22,2,0,0,0,5:33,0:34,867,0,1,0,0,0,6:15,5:19,4:03,4:37,1:17,2:05,3:08,0:34,6:15,Prempt,0:21,1,,6:36,Zero,5,,5,--,H,F Diag,F,Diag,86,Tall Cage,99,0:48,7:24,Housing,TOPD,3,--,1:54,,,,1:43,3:37,27,75,18,46,,26,200,0.4493289641,413.7470273,
🇸🇰,NoFear1337,1,1,7:24.504,7:26.254,08 Dec 2023,878,(V),-8415980398606239765,12,Yes,https://www.speedrun.com/mc/run/m7308v9y,7,26,254,446254,446,0,410359,1.087472189,465828,0.9579801987,-0.0005,0.6447,0.4546682102,657.3873,1019.7098,919.6189,0.99928,,BT,,RP,1:39,0:33,2:12,Treasure,1:50,4:02,0:19,4:21,Fort,0:34,4:55,5/6,5,6,0.83,0:06,Yes,2,5:01,HP,0:36,2,0,0,0,5:37,0:36,1489,0,0,1,0,0,6:13,5:01,3:22,3:58,1:28,2:23,3:03,1:18,6:13,Prempt,0:16,4,,6:29,Zero,6,,6,--,O,F Diag,F,Diag,85,M85,95,0:55,7:24,Treasure,BOOMR,4,8/10,2:12,,,,1:50,4:02,10,121,55,25,44,26,878,0,0,
🇳🇴,skycrab1,0,0,7:27.923,7:27.923,20 Mar 2026,45,(U),-5301700605608362807,,,https://www.youtube.com/watch?v=gd8ToSBA6yY,7,27,923,447923,448,1,410359,1.091539359,410359,1.091539359,-0.0005,0.9778,1.107593153,887.3525,907.5443,914.2861,1.02309,,BT,🗙,2x1 Magma,1:35,0:50,2:25,Treasure,1:40,4:05,0:15,4:20,Fort,0:31,4:51,6/7,6,7,0.86,0:11,Yes,2,5:02,Calc,0:10,1,1,0,1,5:12,1:07,1745,0,0,0,1,0,6:19,5:02,3:27,4:34,1:39,2:25,3:07,1:28,6:19,Prempt,0:22,1,1,6:41,Zero,5,,5,--,O,B Diag,B,Diag,91,M91,99,0:46,7:27,Treasure,BOOMR,4,10/15,2:25,,,,1:40,4:05,18,112,11,25,39,31,45,0.990928893,899.3118419,
🇫🇮,AndrewCrow,0,1,7:28.358,7:28.874,17 Feb 2026,76,(Q),todo,,,https://www.youtube.com/watch?v=RNTNMHEVNBo,7,28,874,448874,449,1,410359,1.093856842,410359,1.093856842,-0.0005,0.9627,1.1248349,870.3074,904.0155,911.1751,1.03690,,BT,,2x1 Magma,1:25,0:36,2:01,Bridge,1:53,3:54,0:13,4:07,Fort,0:52,4:59,6/7,6,7,0.86,0:09,Yes,2,5:08,Calc,0:30,1,0,0,0,5:38,0:44,1131,0,0,1,0,0,6:22,5:08,3:43,4:27,1:26,2:20,3:21,1:23,6:22,PR,0:12,2,,6:34,Zero,7,,7,--,O,F Diag,F,Diag,91,M91,99,0:54,7:28,Bridge,CRKSMK,3,--,2:01,,,,1:53,3:54,29,94,36,26,32,27,76,0.9570519546,865.1898147,
🇨🇦,Jay12310,0,1,7:28.256,7:29.121,02 Aug 2024,640,(V),-6421260664080147265,,Yes,https://www.speedrun.com/mc/runs/y8prdrxz,7,29,121,449121,449,0,410359,1.094458754,421494,1.065545417,-0.0005,0.7261,0.9308942016,684.4775,942.6130,910.3585,1.04052,,BT,,2x1 Magma,1:48,0:28,2:16,Fort,0:37,2:53,0:20,3:13,Housing,1:38,5:08,5/6,5,6,0.83,--,No,2,4:23,Calc,0:17,1,0,0,0,4:40,0:42,600,0,1,0,0,0,5:50,4:51,3:03,3:45,1:42,2:37,4:15,0:42,5:50,Prempt,0:43,3,,6:33,Zero,6,,6,--,O,F Diag,F,Diag,86,Tall Cage,95,0:55,7:28,Housing,MANH,3,--,3:13,,,,1:55,5:08,22,70,19,0,14,22,640,0,0.00000000388654903,
🇩🇪,jason_n,0,1,7:29.374,7:29.374,06 Oct 2024,575,(V),-4936383011000236174,,Yes,https://www.speedrun.com/mc/runs/znxxp6vy,7,29,374,449374,449,0,410359,1.095075288,421494,1.066145663,-0.0005,0.7501,0.9346460844,706.5481,941.8926,909.5182,1.04423,,BT,,Lava Pool,1:26,1:00,2:26,Stables,1:20,3:46,0:13,3:59,Fort,1:12,5:28,6/9,6,9,0.67,--,No,2,5:06,Calc,0:17,1,0,0,0,5:23,0:23,349,1,0,0,0,0,5:51,5:11,3:45,4:08,1:26,2:18,3:30,0:31,5:59,Prempt,0:38,1,,6:37,Zero,5,,5,--,H,F Diag,F,Diag,88,M88,95,0:52,7:29,Stables,DBTRPL,6,--,2:26,,,,1:20,3:46,21,63,6,0,52,17,575,0.000000005541849761,0.000005219827169,
🇫🇮,sadekeppi,0,1,7:29.931,7:29.931,02 Apr 2025,397,(V),6582471955859004032,,Yes,https://www.speedrun.com/mc/runs/z5l4r5gy,7,29,931,449931,450,1,410359,1.096432636,421494,1.067467153,-0.0005,0.8200,0.9429584429,771.0018,940.2923,907.6551,1.05245,,BT,,2x1 Magma,1:23,0:31,1:54,Housing,1:46,3:40,0:19,3:59,Fort,0:51,4:50,6/7,6,7,0.86,0:10,Yes,2,5:00,Calc,0:44,1,0,0,0,5:44,0:25,583,0,1,0,0,0,6:09,5:00,3:37,4:02,1:38,2:29,3:30,1:19,6:09,Prempt,0:29,1,,6:38,Zero,6,,6,--,O,F Diag,F,Diag,91,M91,99,0:51,7:29,Housing,MANH,5,--,1:54,,,,1:46,3:40,40,57,8,14,23,1,397,0.001916839966,1.802389803,
🇺🇸,doogile,0,1,7:29.752,7:30.439,12 Dec 2023,874,(V),-8404662731985464270,18,Yes,https://www.speedrun.com/mc/runs/m3kq8ddy,7,30,439,450439,450,0,410359,1.097670576,446254,1.009378067,-0.0005,0.6460,0.6387669095,642.1313,994.0553,905.9399,1.06001,,SH,,RP,1:46,0:35,2:21,Housing,1:28,3:49,0:31,4:20,Fort,0:31,4:51,5/7,5,7,0.71,0:12,Yes,2,5:03,HP,0:27,1,0,0,0,5:30,0:35,1102,0,0,1,0,0,6:05,5:03,3:17,3:52,1:12,2:26,3:09,1:14,6:05,Prempt,0:10,2,,6:15,F.Zero,5,--,--,5,B56,F Diag,F,Diag,91,M91,--,1:14,7:29,Housing,MANH,3,--,2:21,,,,1:28,3:49,17,68,15,25,33,21,874,0,0,
🇵🇱,watermelon1708,0,1,7:30.263,7:30.682,04 Dec 2025,151,(U),-8027616666562891938,,Yes,https://www.youtube.com/watch?v=zaVHr65a7Uk&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk&index=4,7,30,682,450682,451,1,410359,1.098262741,410359,1.098262741,-0.0005,0.9273,1.158327315,831.8779,897.1165,905.1140,1.06364,,BT,,2x1 Magma,1:12,0:57,2:09,Housing,1:34,3:43,0:10,3:53,Fort,1:34,5:40,5/9,5,9,0.56,--,No,2,5:13,Calc,0:13,1,0,1,1,5:26,0:37,1450,0,0,1,0,0,6:17,5:27,4:15,4:52,1:12,2:03,3:37,0:37,6:17,Prempt,0:22,1,,6:39,Zero,5,,5,--,H,F Diag,F,Diag,85,M85,95,0:51,7:30,Housing,TOPD,5,DBTRPL,2:09,,,,1:34,3:43,24,57,65,42,19,32,151,0.708719754,635.8041767,
🇺🇸,itsnahan,0,1,7:32.783,7:32.783,04 Jun 2025,334,(V),4115833317145621618,,Yes,https://www.speedrun.com/mc/runs/zqp1639m,7,32,783,452783,453,1,410359,1.103382648,421494,1.07423356,-0.0005,0.8462,0.9866653382,788.4766,931.7856,897.8264,1.09553,,BT,,Lava Pool,1:31,0:10,1:41,Bridge,1:58,3:39,0:14,3:53,Fort,1:07,5:00,5/11,5,11,0.45,0:17,Yes,2,5:17,Calc,0:36,1,0,0,0,5:53,0:29,unknown,0,0,0,0,0,6:22,5:17,3:46,4:15,1:23,2:15,3:39,1:22,6:22,Prempt,0:18,2,,6:40,Zero,6,,6,--,O,B Diag,B,Diag,85,M85,95,0:52,7:32,Bridge,SOOG,3,DT,1:41,,,,1:58,3:39,24,101,40,32,30,30,334,0.02408971242,22.44644614,
🇳🇴,skycrab1,0,0,7:25.567,7:32.827,19 Aug 2024,623,(U),4927231128345776418,,Yes,https://www.youtube.com/watch?v=87ruBPBpgbg&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=57,7,32,827,452827,453,1,410359,1.103489871,421494,1.07433795,-0.0005,0.7323,0.987354879,682.2918,931.6502,897.6709,1.09620,,BT,,2x1 Magma,1:13,0:37,1:50,Bridge,1:59,3:49,0:14,4:03,Fort,0:45,4:48,6/11,6,11,0.55,0:10,Yes,2,4:58,Calc,0:19,1,0,0,0,5:17,0:45,1485,0,0,1,0,0,6:02,4:58,3:45,4:30,1:28,2:27,3:22,1:14,6:02,Prempt,0:24,2,,6:26,Zero,6,,6,--,O,B Diag,B,Diag,76,Small Boi,90,0:59,7:25,Bridge,OLD,6,DT,1:50,1:33,,,1:59,3:49,20,135,72,0,35,29,623,0,0.00000002936450165,
🇸🇰,NoFear1337,0,0,7:29.999,7:32.999,21 Jan 2024,834,(U),1330456095954625394,,Yes,https://www.youtube.com/watch?v=u1WAriPLZMQ,7,32,999,452999,453,1,410359,1.103909016,421494,1.074746022,-0.0005,0.6590,0.9900548611,613.6273,931.1197,897.0621,1.09886,,BT,,2x1 Magma,1:23,0:13,1:36,Housing,1:00,2:36,0:15,2:51,Fort,1:52,5:10,6/12,6,12,0.50,--,No,2,3:42,Calc,0:27,1,0,0,0,4:09,0:33,198,1,0,0,0,0,5:43,4:43,3:20,3:53,1:19,2:46,4:38,0:33,5:43,Prempt,0:19,1,,6:02,Perch,4,--,--,4,B58,--,--,,--,--,--,1:27,7:29,Housing,MANH,3,--,1:36,,,,1:00,2:36,20,56,0,0,17,8,834,0,0,
🇵🇱,kazzruns,0,1,7:33.804,7:33.804,24 Jul 2025,284,(V),-5890829594904468442,,Yes,https://www.speedrun.com/mc/runs/yjqo30nm,7,33,804,453804,454,1,410359,1.105870713,410359,1.105870713,-0.0005,0.8676,1.21841983,767.5027,884.6057,894.1889,1.11135,,BT,,2x1 Magma,1:13,0:14,1:27,Stables,1:39,3:06,0:09,3:15,Fort,1:23,5:01,6/8,6,8,0.75,--,No,2,4:20,Calc,0:23,2,1,1,2,4:43,1:13,2302,0,0,0,0,1,6:14,4:38,3:25,4:38,1:56,2:55,4:18,1:13,6:14,Prempt,0:20,2,,6:34,Perch,5,--,--,5,O,--,--,,--,--,--,0:59,7:33,Stables,DBTRPL,7,TTD,1:27,,,,1:39,3:06,20,72,20,33,17,13,284,0.1012026436,89.52443777,
🇨🇦,Aquacorde,0,0,7:34.421,7:34.056,03 Mar 2026,62,(U),6573117783169949946,,,https://www.youtube.com/watch?v=l__1dhyvdjw,7,34,56,454056,454,0,410359,1.10648481,410359,1.10648481,-0.0005,0.9695,1.223398018,856.5921,883.5624,893.2814,1.11529,,BT,✔,Lava Pool,1:01,0:16,1:17,Housing,1:24,2:41,1:04,3:45,Fort,2:03,6:05,5/12,5,12,0.42,--,No,2,4:42,Calc,0:17,1,0,0,0,4:59,0:32,333,1,0,0,0,0,6:37,5:48,4:47,5:19,1:02,1:46,3:49,0:32,6:37,Prempt,0:13,3,,6:50,Zero,4,2,4,--,O,F Diag,F,Diag,88,M88,99,0:44,7:34,Housing,MANH,3,--,1:17,,,,1:24,2:41,23,31,44,26,47,23,62,0.9764489584,862.7535652,
🇺🇸,Feinberg,0,1,7:34.367,7:34.367,28 Apr 2026,6,(Q),todo,,,https://www.youtube.com/watch?v=iOWwIieY6C4,7,34,367,454367,454,0,410359,1.107242683,410359,1.107242683,-0.0005,0.9970,1.229568454,879.6250,882.2678,892.1560,1.12016,,BT,✔,2x1 Magma,1:34,0:34,2:08,Housing,1:46,3:54,0:27,4:21,Fort,1:11,6:06,6/11,6,11,0.55,--,No,2,5:21,Calc,0:34,2,0,0,0,5:55,0:24,1381,0,0,1,0,0,6:30,5:32,3:58,4:22,1:15,2:02,3:13,0:24,6:30,Prempt,0:17,1,0,6:47,Zero,5,3,5,--,O,B Diag,B,Diag,91,M91,99,0:47,7:34,Housing,TOPD,3,--,2:08,0:06,2:14,1:40,1:46,3:54,28,88,64,12,33,23,6,0.9999784002,882.248736,
🇺🇸,itsnahan,0,0,7:34.447,7:34.546,19 Dec 2025,136,(U),-7173684177694873982,,Yes,https://www.youtube.com/watch?v=1_O9cZzkKpk,7,34,546,454546,455,1,410359,1.107678886,410359,1.107678886,-0.0005,0.9343,1.233133357,823.5685,881.5192,891.5057,1.12298,,BT,,2x1 Magma,1:24,0:34,1:58,Housing,1:45,3:43,0:04,3:47,Fort,1:53,5:56,6/7,6,7,0.86,--,No,2,5:07,Calc,0:16,1,0,0,0,5:23,0:24,unknown,0,0,0,0,0,6:20,5:40,4:16,4:40,1:02,1:54,3:47,0:24,6:20,Prempt,0:22,1,,6:42,Zero,6,,6,--,O,F 1/8,F,1/8,--,--,92,0:52,7:34,Housing,TOPD,8,DBTRPL,1:58,,,,1:45,3:43,35,128,49,25,26,14,136,0.7775979983,685.4675499,
🇦🇿,KenanKardes,0,1,7:35.447,7:34.838,13 Sep 2024,598,(V),5361864572335160821,,Yes,https://www.speedrun.com/mc/runs/zx0e765z,7,34,838,454838,455,1,410359,1.108390458,421494,1.079109074,-0.0005,0.7416,1.019375147,686.1830,925.3244,890.4405,1.12759,,BT,✔,2x1 Magma,1:37,0:52,2:29,Housing,1:14,3:43,0:15,3:58,Fort,1:38,5:48,6/9,6,9,0.67,--,No,2,5:17,Calc,0:12,1,1,0,1,5:29,0:28,895,0,1,0,0,0,6:16,5:36,3:59,4:27,1:12,1:59,3:37,0:28,6:16,Prempt,0:32,1,,6:48,Zero,4,2,4,--,B56,F Diag,F,Diag,91,M91,95,0:47,7:35,Housing,MANH,3,DBTRPL,2:29,,,,1:14,3:43,20,79,54,27,34,19,598,0.0000000005161007075,0.0000004775605724,
